EXIT VELO (MPH),DISTANCE,ANGLE,OUTCOME,PITCH SPEED,DATE
115.6,226,80.5,Field Out,90.5,7/24/15
115.6,278,0.7,Single,91.5,8/1/15
115.5,428,15.1,Home Run,93.1,5/12/15
115.4,142,4.3,Single,84,4/28/15
115.4,479,29.3,Home Run,89.6,10/4/15
115.3,420,18.2,Home Run,79.3,6/18/15
115.3,238,-3.6,Single,97,8/23/15
115.3,442,22.7,Home Run,92,4/7/15
115.2,187,-6.1,Field Out,95,9/11/15
115.2,319,13.9,Field Out,87.9,4/23/15
115.2,312,15,Field Out,89.6,8/31/15
115.1,276,3.2,Single,87.8,9/6/15
115.1,358,11.4,Double,87.1,7/12/15
115.1,421,18.1,Home Run,97.3,9/24/15
115.1,120,3.5,Single,86.4,4/24/15
115,399,28.4,Home Run,95.9,6/13/15
115,119,-4.6,Field Out,93.8,6/3/15
115,453,16,Home Run,91.1,6/24/15
