ANGLE,EXIT VELO
29.83276913193793,114
29.6576364109663,114.2
29.485225457680297,114.4
29.315441389640306,114.60000000000001
29.14819483059661,114.80000000000001
28.983401467958863,115.00000000000001
28.820981655155546,115.20000000000002
28.66086005343102,115.40000000000002
28.502965308394234,115.60000000000002
28.34722975727779,115.80000000000003
28.19358916341053,116.00000000000003
28.041982474868355,116.20000000000003
27.892351604660355,116.40000000000003
27.74464123014266,116.60000000000004
27.59879860963913,116.80000000000004
27.454773414494813,117.00000000000004
27.312517575000342,117.20000000000005
27.171985138809166,117.40000000000005
27.033132140628602,117.60000000000005
26.89591648210401,117.80000000000005
26.760297820935858,118.00000000000006
26.626237468374626,118.20000000000006
26.493698294330756,118.40000000000006
26.36264463941762,118.60000000000007
26.2330422333166,118.80000000000007
26.104858118916155,119.00000000000007
25.97806058173201,119.20000000000007
25.852619084164708,119.40000000000008
25.728504204194238,119.60000000000008
25.60568757814995,119.80000000000008
25.484141847228596,120.00000000000009
25.363840607463743,120.20000000000009
25.244758362877345,120.40000000000009
25.126870481568833,120.6000000000001
25.01015315451877,120.8000000000001
24.894583356904295,121.0000000000001
24.780138811740812,121.2000000000001
24.666797955680767,121.4000000000001
24.554539906814515,121.60000000000011
24.443344434331348,121.80000000000011
24.33319192991053,122.00000000000011
24.22406338072287,122.20000000000012
24.115940343932888,122.40000000000012
24.008804922600493,122.60000000000012
23.902639742889164,122.80000000000013
23.797427932494564,123.00000000000013
23.693153100214467,123.20000000000013
23.589799316586667,123.40000000000013
23.48735109552717,123.60000000000014
23.385793376905934,123.80000000000014
23.285111510002068,124.00000000000014
23.185291237784547,124.20000000000014
23.086318681968496,124.40000000000015
22.988180328800546,124.60000000000015
22.890863015529952,124.80000000000015
22.794353917525502,125.00000000000016
22.75597376819236,125.08
